,0
1681,5105
1682,4818
1683,4834
1684,4032
1685,4786
1686,4514
1687,4904
1688,4648
1689,4188
1690,4656
1691,5085
1692,4403
1693,4770
1694,2491
1695,5043
1696,3481
1697,4422
1698,4858
1699,5010
1700,2824
1701,5053
1702,4749
1703,1337
1704,4688
1705,4863
1706,3545
1707,4706
1708,4797
1709,1799
1710,4457
1711,5410
1712,4998
1713,4862
1714,4758
1715,4964
1716,5195
1717,4929
1718,4197
1719,3141
1720,4774
1721,5016
1722,5035
1723,4239
1724,5128
1725,5069
1726,3177
1727,5273
1728,5092
1729,4825
1730,4992
1731,5189
1732,4695
1733,3576
1734,5250
1735,4938
1736,4895
1737,4603
1738,5117
1739,3364
1740,5029
1741,5088
1742,3918
1743,3824
1744,5194
1745,5436
1746,3952
1747,4814
1748,3860
1749,5377
1750,5294
1751,5131
1752,460
1753,610
1754,5049
1755,5119
1756,5188
1757,1246
1758,5254
1759,4220
1760,4894
1761,4856
1762,2768
1763,2941
1764,4347
1765,5153
1766,5097
1767,5289
1768,4980
1769,5358
1770,1387
1771,5482
1772,5779
1773,3582
1774,5362
1775,3712
1776,5165
1777,521
1778,5156
1779,5478
1780,4764
1781,4620
1782,4977
1783,4583
1784,5118
1785,5238
1786,4430
1787,3223
1788,5064
1789,5264
1790,5041
1791,5327
1792,4645
1793,5269
1794,5080
1795,5348
1796,5201
1797,4763
1798,5364
1799,4875
1800,5472
1801,5282
1802,5393
1803,1206
1804,5220
1805,5130
1806,5528
1807,5305
1808,3229
1809,2765
1810,4947
1811,5370
1812,5256
1813,5266
1814,5055
1815,5047
1816,5112
1817,5587
1818,3063
1819,4826
1820,5718
1821,4492
1822,5224
1823,4752
1824,5910
1825,5299
1826,5546
1827,2835
1828,3792
1829,5625
1830,5134
1831,4720
1832,4630
1833,621
1834,3069
1835,4944
1836,5485
1837,4682
1838,5317
1839,5324
1840,5301
1841,5395
1842,5302
1843,4857
1844,4286
1845,5861
1846,5513
1847,5469
1848,4981
1849,5812
1850,5150
1851,5678
1852,4382
1853,4954
1854,5417
1855,5477
1856,5219
1857,4974
1858,5576
1859,5065
1860,1732
1861,5706
1862,1277
1863,5491
1864,4116
1865,5075
1866,4677
1867,5243
1868,5161
1869,5613
1870,4868
1871,5154
1872,5927
1873,5257
1874,5668
1875,2276
1876,5777
1877,4699
1878,3644
1879,5431
1880,162
1881,5843
1882,1772
1883,4920
1884,5344
1885,4263
1886,4668
1887,2351
1888,5208
1889,4743
1890,5283
1891,5293
1892,5825
1893,3106
1894,3579
1895,5488
1896,5223
1897,5492
1898,1446
1899,3466
1900,4243
1901,4348
1902,5828
1903,5475
1904,5798
1905,5713
1906,6072
1907,4598
1908,4975
1909,4254
1910,4867
1911,5260
1912,5484
1913,5665
1914,3541
1915,5667
1916,2543
1917,6019
1918,5426
1919,5785
1920,5381
1921,5462
1922,1989
1923,3879
1924,5498
1925,5756
1926,5710
1927,5733
1928,5171
1929,5930
1930,5553
1931,6258
1932,5674
1933,5271
1934,5967
1935,5182
1936,1584
1937,3812
1938,4117
1939,5698
1940,6007
1941,5583
1942,5597
1943,529
1944,5535
1945,5783
1946,5632
1947,4958
1948,4372
1949,5894
1950,3521
1951,3758
1952,5774
1953,3072
1954,2197
1955,6063
1956,3709
1957,1299
1958,2567
1959,5628
1960,5616
1961,4166
1962,3625
1963,3473
1964,5309
1965,1462
1966,5782
1967,4310
1968,929
1969,6377
1970,5680
1971,2582
1972,5762
1973,5409
1974,4953
1975,342
1976,5692
1977,4876
1978,5864
1979,5605
1980,586
1981,5729
1982,5115
1983,5113
1984,4370
1985,1303
1986,4564
1987,5835
1988,4746
1989,1585
1990,4471
1991,5866
1992,5388
1993,4765
1994,5868
1995,5986
1996,4708
1997,6122
1998,5673
1999,5514
2000,4088
2001,4525
2002,5960
2003,5803
2004,5886
2005,5700
2006,5684
2007,5786
2008,5738
2009,3516
2010,4673
2011,5810
2012,5497
2013,5996
2014,4606
2015,5623
2016,5853
2017,2650
2018,5881
2019,5888
2020,5062
2021,5974
