Unnamed: 0,accuracy,balanced_accuracy,recall,precision,auc,pr_auc,f1_score,f2_score,log_loss
42,0.7216666666666667,0.7216464490179141,0.7095158597662772,0.7264957264957265,0.7216464490179141,0.7905057931310019,0.7179054054054055,0.7128480375712849,9.613399376240832
43,0.7308333333333333,0.7308228633968428,0.7245409015025042,0.7331081081081081,0.7308228633968428,0.7975745048053062,0.7287993282955499,0.7262382864792504,9.296792593291768
44,0.7275,0.7274839652332368,0.7178631051752922,0.7312925170068028,0.7274839652332368,0.7949944777577141,0.7245155855096883,0.7205093833780161,9.41192184794147
45,0.7258333333333333,0.7257895160819892,0.6994991652754591,0.7376760563380281,0.7257895160819889,0.7935876108067437,0.7180805484147387,0.7068151147098515,9.469480478285595
46,0.7266666666666667,0.7266520184778291,0.7178631051752922,0.7300509337860781,0.7266520184778291,0.7943736861473517,0.7239057239057239,0.7202680067001676,9.440704827935088
47,0.7108333333333333,0.7107922522007006,0.6861435726210351,0.7210526315789474,0.7107922522007005,0.7819314354333247,0.7031650983746792,0.6928523263654754,9.987568787521171
48,0.7208333333333333,0.7208061689060248,0.7045075125208681,0.7275862068965517,0.7208061689060247,0.7897968597087099,0.7158608990670059,0.7090053763440861,9.642180357240877
49,0.7116666666666667,0.7116436434545652,0.6978297161936561,0.7169811320754716,0.7116436434545651,0.7828220908012304,0.7072758037225042,0.7015777106411547,9.9587904718459
50,0.73,0.7299936944269291,0.7262103505843072,0.7310924369747899,0.7299936944269291,0.7969847271128818,0.7286432160804021,0.7271815446339017,9.325576239616577
51,0.7325,0.732506201406115,0.7362270450751253,0.7301324503311258,0.7325062014061151,0.7990130810364588,0.7331670822942643,0.7350000000000001,9.239231297622878
52,0.73,0.7299798054994597,0.7178631051752922,0.7350427350427351,0.7299798054994597,0.7968695867756803,0.7263513513513513,0.7212344850721235,9.325572907960618
53,0.7216666666666667,0.7216464490179141,0.7095158597662772,0.7264957264957265,0.7216464490179141,0.7905057931310019,0.7179054054054055,0.7128480375712849,9.613399376240832
54,0.7191666666666666,0.7191172753257649,0.6894824707846411,0.7322695035460993,0.7191172753257649,0.7883759871653703,0.7102321582115219,0.6976351351351352,9.699740320247383
55,0.725,0.7249686804685569,0.7061769616026711,0.733102253032929,0.7249686804685568,0.7929729406511333,0.7193877551020408,0.7114026236125126,9.498266123603981
56,0.7333333333333333,0.7332937035936211,0.7095158597662772,0.7443082311733801,0.7332937035936211,0.7994120454698287,0.7264957264957267,0.7162116616110551,9.210437656330187
57,0.7333333333333333,0.7333048147355965,0.7161936560934892,0.7409326424870466,0.7333048147355965,0.7993964826236011,0.7283531409168081,0.7210084033613445,9.210440321654957
