CAS-RN,NAME,STATUS_TEXT,STATUS_BIN,SMILES,k OH (AOPv1.92) atmospheric,t1/2 atmosphere in hours,"VP (mm Hg, MPVPBP v1.43)","VP (Pa, MPBPVPwin))",BIOWIN1,BIOWIN2,BIOWIN3,t1/2(water)hrs,t1/2(soil)hrs,BIOWIN4,BIOWIN5,BIOWIN6,log Kow (KowWin v1.67),log Koa (KoaWin v1.10),log Kaw (=Kow/Koa,BCF (BCFBAF v3.00),BCFmax,"kM halflife (days, BCFBAF v3.00)",kM,BCF(metabolism),TMF air,TMF pelagic,BAF air,LRTP-Pov,LRTP-CTD,LRTP-TE,MW,P-score,B-score
000091-01-0," Benzenemethanol, .alpha.-phenyl-",not P,0,OC(c1ccccc1)c1ccccc1,1.62E-11,2.38E+01,5.92E-05,7.88E-03,1.0747,0.994,2.996,3.73E+02,7.47E+02,3.7212,0.3976,0.4194,2.71,8.938,-6.268,14.9,1.04E+02,0.077360176,8.96,21.9123,9.8,-0.5,215.6,42.99660911,428.2937214,1.880286733,184.24,0.0806,0.0864
000091-16-7," Benzene, 1,2-dimethoxy-",not P,0,COc1c(OC)cccc1,2.03E-11,1.90E+01,2.68E-01,3.56E+01,.9456,0.9961,2.7776,5.72E+02,1.14E+03,3.8026,0.7252,0.8458,1.64,4.712,-3.112,5.281,1.49E+01,0.388753326,1.78,13.5036,-1.7,4.4,13.5,50.93430887,6538.970574,26.6384231,138.17,0.1047,0.0117
000093-09-4, 2-Naphthalenecarboxylic acid,not P,0,c12cc(C(=O)O)ccc-1cccc2,8.52E-12,4.52E+01,4.89E-06,6.51E-04,.8424,0.9519,2.9065,4.45E+02,8.89E+02,3.6071,0.6344,0.6986,3.05,9.643,-6.363,3.162,2.13E+02,1.480451048,0.47,151.9321,9.1,-4.1,1388.6,52.13123906,357.5191105,1.577131427,172.18,0.1085,0.2767
000093-10-7, 2-Quinolinecarboxylic acid,not P,0,c12nc(C(=O)O)ccc-1cccc2,4.82E-12,8.00E+01,7.84E-06,1.04E-03,.8420,0.9513,2.9044,4.47E+02,8.93E+02,3.6056,0.6232,0.6664,2.02,11.265,-9.245,3.162,2.79E+01,0.121200766,5.72,16.9842,4.7,-15.7,79.6,45.6616375,46.34640328,0.005710603,173.17,0.0885,0.0429
000093-15-2," Benzene, 1,2-dimethoxy-4-(2-propenyl)-",not P,0,C=CCc1cc(OC)c(OC)cc1,7.51E-11,5.13E+00,3.48E-03,4.63E-01,.9812,0.9961,2.6142,7.87E+02,1.57E+03,3.6763,0.5607,0.5953,3.03,6.67,-3.64,46.44,2.04E+02,0.628419928,1.10,107.0690,7.0,5.8,750.5,87.91246216,3470.408354,10.97767693,178.23,0.2282,0.1943
000093-68-5," Butanamide, N-(2-methylphenyl)-3-oxo-",not P,0,CC(=O)CC(=O)Nc1c(C)cccc1,1.60E-11,2.41E+01,1.07E-05,1.43E-03,.9282,0.9572,2.625,7.70E+02,1.54E+03,3.6865,0.5118,0.4903,0.99,10.718,-9.728,3.162,6.21E+00,0.031621678,21.92,4.0127,6.6,-11.3,26.6,60.47134573,79.89572958,0.001061524,191.23,0.1354,0.0193
000093-82-3," Octadecanamide, N,N-bis(2-hydroxyethyl)-",not P,0,OCCN(CCO)C(=O)CCCCCCCCCCCCCCCCC,5.78E-11,6.66E+00,7.80E-13,1.04E-10,1.2067,0.989,2.942,4.15E+02,8.30E+02,4.045,1.0442,0.9645,5.83,15.147,-9.317,138.2,3.60E+04,0.222305061,3.12,79.6469,-22.1,-61.0,79.6,49.86852941,1827.467832,8.092072432,371.61,0.1014,0.0429
000094-36-0," Peroxide, dibenzoyl",not P,0,c1(C(=O)OOC(=O)c2ccccc2)ccccc1,3.55E-12,1.08E+02,6.99E-05,9.29E-03,.8884,0.9596,2.7079,6.55E+02,1.31E+03,3.508,0.0737,0.0368,3.43,7.299,-3.839,89.11,4.90E+02,0.321496837,2.16,93.4430,8.6,4.9,800.9,76.94719381,4519.568534,20.2402724,242.23,0.1908,0.2020
000095-47-6," Benzene, 1,2-dimethyl-",not P,0,Cc1ccc(C)cc1,6.51E-12,5.91E+01,6.89E+00,9.16E+02,.8063,0.9343,2.8149,5.32E+02,1.06E+03,3.5575,0.5121,0.6355,3.09,3.7,-0.55,55.64,2.32E+02,0.951471765,0.73,138.1663,-8.4,1.2,138.2,329.0654211,104110.7701,48.2325616,106.17,0.7361,0.0635
000095-48-7," Phenol, 2-methyl-",not P,0,Oc1c(C)cccc1,4.11E-11,9.36E+00,2.51E-01,3.33E+01,.8665,0.9507,2.9417,4.15E+02,8.30E+02,3.6629,0.529,0.6637,2.06,6.259,-4.309,8.987,2.99E+01,0.10986641,6.31,17.0006,5.7,6.0,96.4,42.36520545,3245.23443,12.05776576,108.14,0.0788,0.0492
