,0
1220,4001
1221,1388
1222,5008
1223,1040
1224,7562
1225,798
1226,8525
1227,10650
1228,7749
1229,8188
1230,4328
1231,9534
1232,2810
1233,2331
1234,2950
1235,4969
1236,10553
1237,9451
1238,6345
1239,4277
1240,9969
1241,5478
1242,4350
1243,6132
1244,3509
1245,7304
1246,7126
1247,7630
1248,2291
1249,905
1250,3962
1251,8363
1252,4612
1253,3116
1254,2333
1255,1506
1256,1520
1257,7478
1258,1460
1259,8512
1260,10748
1261,1410
1262,5825
1263,2268
1264,5711
1265,1696
1266,9351
1267,9751
1268,2017
1269,4866
1270,6749
1271,9504
1272,10329
1273,7903
1274,7734
1275,8286
1276,675
1277,6276
1278,4527
1279,6933
1280,3078
1281,1328
1282,8491
1283,1191
1284,984
1285,4462
1286,817
1287,3458
1288,745
1289,7544
1290,2037
1291,6127
1292,7960
1293,8900
1294,3367
1295,1758
1296,9931
1297,1864
1298,9542
1299,7863
1300,3528
1301,2673
1302,7462
1303,5910
1304,4709
1305,5417
1306,6452
1307,7021
1308,3649
1309,10377
1310,5798
1311,5296
1312,6551
1313,2107
1314,3095
1315,8539
1316,2991
1317,9945
1318,3977
1319,7000
1320,4067
1321,4941
1322,2432
1323,4745
1324,1983
1325,9193
1326,8812
1327,1749
1328,9477
1329,3668
1330,5082
1331,10210
1332,2654
1333,8906
1334,3208
1335,6778
1336,1902
1337,6474
1338,36
1339,7020
1340,3130
1341,492
1342,8385
1343,10570
1344,10396
1345,8204
1346,4047
1347,819
1348,9231
1349,10708
1350,2928
1351,3798
1352,6995
1353,6811
1354,10704
1355,2000
1356,10033
1357,9315
1358,7816
1359,9527
1360,7457
1361,5460
1362,7164
1363,4949
1364,9151
1365,10203
1366,10091
1367,2616
1368,9550
1369,1794
1370,9049
1371,5280
1372,10594
1373,8446
1374,875
1375,5216
1376,3005
1377,6161
1378,10600
1379,8355
1380,562
1381,10286
1382,10232
1383,7250
1384,9900
1385,7376
1386,8115
1387,10777
1388,2922
1389,10486
1390,8788
1391,4888
1392,186
1393,402
1394,6883
1395,3581
1396,8558
1397,4108
1398,44
1399,6891
1400,1933
1401,4742
1402,4791
1403,2569
1404,9218
1405,7271
1406,7433
1407,6653
1408,8107
1409,7374
1410,8440
1411,3586
1412,6052
1413,322
1414,4667
1415,8370
1416,4629
1417,6792
1418,4995
1419,6318
1420,2295
1421,5506
1422,3697
1423,2310
1424,7760
1425,8887
1426,9539
1427,341
1428,725
1429,2460
1430,1001
1431,950
1432,4846
1433,9516
1434,1402
1435,6563
1436,1832
1437,8883
1438,4706
1439,1317
1440,4500
1441,3369
1442,356
1443,9498
1444,2423
1445,6017
1446,3523
1447,132
1448,10007
1449,1353
1450,4180
1451,8379
1452,4643
1453,7145
1454,9546
1455,4997
1456,8068
1457,3058
1458,2419
1459,462
1460,5755
1461,10036
1462,5489
1463,3521
1464,6187
1465,4086
1466,6311
1467,1054
1468,313
1469,10559
1470,4264
1471,10422
1472,6087
1473,9003
1474,931
1475,5099
1476,4415
1477,8301
1478,1655
1479,2834
1480,10043
1481,3335
1482,7404
1483,10478
1484,190
1485,619
1486,7292
1487,9421
1488,4271
1489,7481
1490,8999
1491,5317
1492,6454
1493,9296
1494,89
1495,7681
1496,1975
1497,5349
1498,1399
1499,1707
1500,5735
1501,8574
1502,1461
1503,1152
1504,2817
1505,3275
1506,3226
1507,7758
1508,8514
1509,7248
